Ac_no  ,client, Open_date , First_name, middle_name, Last_name, ssn      , Addl_1      , Addl_2   , City        , State, Zipcode, record_type, match_code, match_score, consumer_id, consumer_type, notification_no, notice_type, case_no , chapter, original chapter, date_filed, conversion_date, status, Status_date, PD_ssn   , PD_First_Name, PD_middle_Name, PD_lastt_Name, PD_suffix, PD_AKA, PD_AKA2, PD_DBA, PD_DBA2, PD_Addl_1      , PD_Addl_2, PD_City        , PD_State, PD_Zipcode, PD_phone, SD_ssn, SD_First_Name, SD_middle_Name, SD_lastt_Name, SD_suffix, SD_AKA, SD_AKA2, SD_DBA, SD_DBA2, SD_Addl_1, SD_Addl_2, SD_City, SD_State, SD_Zipcode, SD_phone, Judge_name        , prose_indicator, Attorny_ssn, Attorny_First_Name, Attorny_middle_Name, Attorny_lastt_Name, Attorny_suffix, Attorny_AKA, Attorny_AKA2, Attorny_DBA, Attorny_DBA2, Attorny_Addl_1, Attorny_Addl_2, Attorny_City, Attorny_State, Attorny_Zipcode, Attorny_phone,creditor_meeting_date,creditor_meeting_time,creditor_Addl_1,creditor_Addl_2,creditor_City     ,creditor_State,creditor_Zipcode,creditor_phone, trustee_name, Trustee_Addl_1 , Trustee_Addl_2, Trustee_City, Trustee_State, Trustee_Zipcode, Trustee_phone, Court_id, court_district  , Court_Addl_1, Court_Addl_2, Court_City, Court_State, Court_Zipcode, Court_phone, confirmation_date, Asset_indicator, Before_open, SASF    , Active_Status, Disposition_text, POC_bar_date, 
1000064,VP,2023-04-15,John,J,Taylor,523415179,4069 Main St,Apt 404,San Antonio,CO,41477,Existing,M1,91,CID-219436,Corporate,NOTIF-1064,Bankruptcy,25-13377,11,7,2020-11-16,,Active,2024-06-23,771310771,Robert,A,Brown,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,941317238,Jane,T,Davis,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-12-20,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Closed,2024-12-20,
1000065,DM,2023-05-20,Patricia,K,Smith,871847719,1155 Main St,Apt 61,Chicago,TX,34653,Update,M1,82,CID-892222,SME,NOTIF-1065,Bankruptcy,22-46133,13,13,2020-07-16,,Active,2025-01-16,670054198,Robert,T,Martinez,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,147881046,Patricia,L,Johnson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2021-10-30,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Dismissed,2021-10-30,
1000066,FD,2023-08-22,Robert,R,Smith,317943757,8041 Main St,Suite 761,San Diego,WA,72495,Existing,M1,92,CID-955489,Individual,NOTIF-1066,Bankruptcy,25-49875,11,11,2023-12-20,,Pending,2020-03-18,672121612,Patricia,L,Davis,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,656299173,Jane,L,Thomas,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-11-09,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Closed,2022-11-09,
1000067,GECOM,2023-02-11,Linda,A,Davis,574732041,6459 Main St,Apt 221,Los Angeles,WA,23446,New,M1,95,CID-348941,Corporate,NOTIF-1067,Bankruptcy,25-38484,11,7,2023-04-13,,Pending,2021-03-07,898062826,Richard,E,Anderson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,232964904,Jennifer,J,Miller,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-04-10,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Closed,2020-04-10,
1000068,VP,2023-08-15,William,S,Martinez,419635544,7512 Main St,Apt 995,San Diego,AZ,24259,Existing,M1,93,CID-245673,Individual,NOTIF-1068,Bankruptcy,21-33829,7,7,2020-04-20,,Active,2020-06-09,307516382,Robert,K,Thomas,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,329637356,Jennifer,E,Miller,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-07-31,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case in Progress,2023-07-31,
1000069,DM,2023-05-31,Richard,E,Brown,364325225,8966 Main St,Suite 592,Chicago,WA,94349,Existing,M1,97,CID-731651,Corporate,NOTIF-1069,Bankruptcy,21-65808,11,7,2024-08-25,,Closed,2025-02-27,781411672,William,S,Martinez,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,429914367,Richard,S,Brown,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-09-15,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Closed,2020-09-15,
1000070,FD,2012-04-16,John,S,Smith,172710738,5349 Main St,Suite 706,Los Angeles,TX,78418,Update,M1,89,CID-307771,Individual,NOTIF-1070,Bankruptcy,24-60049,11,7,2023-03-27,,Active,2024-07-21,915466157,Michael,L,Anderson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,409700946,Richard,A,Garcia,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2025-04-17,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Dismissed,2025-04-17,
1000071,GECOM,2011-03-25,Linda,L,Smith,161421912,1762 Main St,Apt 126,San Diego,TX,43573,Existing,M1,93,CID-110575,SME,NOTIF-1071,Bankruptcy,24-17041,11,11,2023-04-07,,Closed,2021-09-11,483183728,Michael,E,Anderson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,752636615,John,A,Anderson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-01-24,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2022-01-24,
1000072,VP,2018-01-16,John,M,Smith,173057580,1292 Main St,Apt 630,San Jose,MA,63225,New,M1,84,CID-189776,Individual,NOTIF-1072,Bankruptcy,21-88087,7,13,2020-03-29,,Closed,2021-04-09,779213066,Jennifer,S,Smith,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,663965627,William,J,Miller,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-04-05,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case in Progress,2023-04-05,
1000073,DM,2018-04-09,William,A,Johnson,334587659,1494 Main St,Apt 803,Philadelphia,CO,84717,Update,M1,88,CID-489958,Corporate,NOTIF-1073,Bankruptcy,20-61250,7,7,2022-07-01,,Pending,2024-03-04,452134997,Robert,E,Garcia,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,726685667,Linda,T,Brown,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-08-29,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2023-08-29,
1000074,FD,2017-12-01,Jane,M,Martinez,525268234,3787 Main St,Apt 689,Houston,WA,96955,New,M1,99,CID-344168,SME,NOTIF-1074,Bankruptcy,22-24771,13,7,2022-03-27,,Pending,2020-01-23,617731991,Jane,T,Anderson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,545796998,Michael,P,Smith,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-02-08,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case in Progress,2024-02-08,
1000075,GECOM,2012-12-26,John,T,Brown,940164710,8864 Main St,Suite 662,Los Angeles,NY,30032,Update,M1,88,CID-148861,Corporate,NOTIF-1075,Bankruptcy,21-80727,7,7,2022-02-23,,Active,2024-10-23,442065378,Jane,M,Davis,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,198062226,Richard,J,Brown,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-02-20,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2022-02-20,
1000076,VP,2011-07-02,John,E,Martinez,734044301,6981 Main St,Apt 15,Los Angeles,MA,39758,Existing,M1,99,CID-443586,SME,NOTIF-1076,Bankruptcy,25-59848,11,13,2023-12-22,,Closed,2023-05-02,348248245,Patricia,R,Smith,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,559520552,Linda,J,Johnson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2025-02-25,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Dismissed,2025-02-25,
1000077,DM,2014-07-11,Linda,L,Brown,699719870,6833 Main St,Suite 444,Dallas,AZ,23112,New,M1,98,CID-981954,Corporate,NOTIF-1077,Bankruptcy,21-16881,13,11,2022-06-26,,Closed,2020-08-16,749460734,Jane,T,Miller,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,142866402,Mary,K,Garcia,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-02-20,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Dismissed,2023-02-20,
1000078,FD,2015-03-04,Jennifer,M,Garcia,169392223,3734 Main St,Apt 729,San Antonio,TX,22214,New,M1,93,CID-423313,Individual,NOTIF-1078,Bankruptcy,23-81831,13,7,2023-05-10,,Closed,2025-03-21,926283371,Richard,J,Miller,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,801704561,Linda,E,Thomas,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-07-30,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Closed,2020-07-30,
1000079,GECOM,2013-03-11,John,A,Miller,845599654,8987 Main St,Suite 340,Dallas,TX,22734,Update,M1,93,CID-968445,Individual,NOTIF-1079,Bankruptcy,24-36584,7,13,2021-06-13,,Closed,2023-10-19,792163568,Jennifer,L,Davis,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,194874174,Linda,R,Smith,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-09-19,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2020-09-19,
1000080,VP,2014-01-05,John,R,Martinez,850456426,3129 Main St,Suite 185,Philadelphia,FL,48447,New,M1,85,CID-873393,Corporate,NOTIF-1080,Bankruptcy,21-55976,11,7,2025-01-21,,Active,2022-05-19,405592498,John,M,Davis,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,168267127,Jennifer,P,Martinez,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-09-07,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Closed,2022-09-07,
1000081,DM,2013-11-14,Mary,P,Brown,570762489,9582 Main St,Apt 849,Los Angeles,WA,66113,New,M1,95,CID-845997,Individual,NOTIF-1081,Bankruptcy,20-54212,13,7,2022-06-01,,Pending,2020-09-18,980189650,Jennifer,L,Brown,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,536981247,Jennifer,E,Garcia,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-10-17,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2020-10-17,
1000082,FD,2017-02-15,William,A,Thomas,885028768,3757 Main St,Apt 426,Philadelphia,MA,47326,Existing,M1,98,CID-455095,SME,NOTIF-1082,Bankruptcy,21-13732,7,11,2020-03-21,,Pending,2024-11-12,187547322,Linda,E,Garcia,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,461017427,Jennifer,E,Davis,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-01-28,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case in Progress,2024-01-28,
1000083,GECOM,2021-04-24,Mary,T,Davis,398124795,8742 Main St,Suite 121,Philadelphia,WA,31855,Update,M1,89,CID-139686,SME,NOTIF-1083,Bankruptcy,22-87717,7,13,2023-10-08,,Closed,2025-04-07,839062864,Linda,T,Miller,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,741864027,William,A,Thomas,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-06-27,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2024-06-27,
1000084,VP,2022-10-05,William,R,Martinez,135023605,9884 Main St,Apt 947,Dallas,FL,21159,Existing,M1,81,CID-389868,Individual,NOTIF-1084,Bankruptcy,22-86755,11,7,2025-05-23,,Pending,2025-01-15,513648370,Patricia,T,Martinez,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,105941735,Patricia,P,Brown,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-03-17,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2020-03-17,
1000085,DM,2015-11-11,William,E,Miller,934982050,3219 Main St,Apt 173,Dallas,CA,37293,Update,M1,98,CID-997625,Corporate,NOTIF-1085,Bankruptcy,25-32943,7,13,2024-04-10,,Active,2020-04-25,503433252,Patricia,R,Miller,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,932636898,Robert,L,Garcia,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-05-22,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2023-05-22,
1000086,FD,2011-01-27,William,A,Smith,810038175,1991 Main St,Suite 211,San Jose,FL,57578,Update,M1,97,CID-916704,Corporate,NOTIF-1086,Bankruptcy,25-98373,11,11,2022-04-12,,Pending,2021-08-29,345594494,Robert,R,Martinez,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,226434301,Patricia,E,Taylor,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-07-04,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2024-07-04,
1000087,GECOM,2014-12-03,Robert,S,Anderson,786887759,4811 Main St,Suite 552,San Diego,AZ,52682,New,M1,90,CID-376296,Individual,NOTIF-1087,Bankruptcy,24-21604,7,11,2020-09-16,,Active,2020-06-08,783834191,Linda,E,Martinez,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,363009294,Mary,J,Martinez,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-11-29,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2024-11-29,
1000088,VP,2012-08-07,Michael,K,Miller,900849335,8009 Main St,Apt 798,Chicago,MA,57163,Existing,M1,84,CID-711353,Individual,NOTIF-1088,Bankruptcy,21-27804,7,7,2020-02-21,,Active,2020-08-12,835851217,Mary,K,Martinez,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,926742433,John,E,Brown,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-02-25,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Dismissed,2023-02-25,
1000089,DM,2022-05-07,Richard,M,Davis,701502396,1630 Main St,Apt 158,Philadelphia,AZ,38355,Update,M1,86,CID-202455,Individual,NOTIF-1089,Bankruptcy,20-47214,13,7,2023-12-17,,Closed,2025-03-24,473052235,Robert,E,Davis,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,450978514,John,A,Martinez,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2023-05-31,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2023-05-31,
1000090,FD,2011-07-11,Mary,M,Thomas,225503383,7062 Main St,Apt 597,San Antonio,MA,69245,Existing,M1,80,CID-593620,SME,NOTIF-1090,Bankruptcy,22-97990,13,11,2021-06-07,,Pending,2022-12-05,830428217,John,S,Anderson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,928904683,Robert,T,Miller,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-12-11,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2024-12-11,
1000091,GECOM,2011-09-17,Mary,P,Martinez,839865581,7332 Main St,Suite 690,Los Angeles,MA,64862,Existing,M1,95,CID-774286,Individual,NOTIF-1091,Bankruptcy,24-56304,11,11,2020-07-03,,Closed,2022-09-15,488566044,William,M,Miller,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,199157849,Linda,J,Davis,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-03-30,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case in Progress,2024-03-30,
1000092,VP,2012-12-05,William,E,Johnson,386786822,3613 Main St,Apt 244,Los Angeles,PA,27420,New,M1,80,CID-134072,Individual,NOTIF-1092,Bankruptcy,23-25292,11,13,2023-12-14,,Pending,2020-11-18,693253416,Robert,L,Miller,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,972470055,Jane,M,Anderson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-09-01,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case in Progress,2022-09-01,
1000093,DM,2023-04-23,John,E,Thomas,909179214,4438 Main St,Suite 467,New York,CO,92362,New,M1,89,CID-209832,SME,NOTIF-1093,Bankruptcy,22-72182,13,11,2023-12-09,,Active,2021-04-01,390344422,Patricia,A,Johnson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,181231723,Richard,J,Johnson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-08-21,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2024-08-21,
1000094,FD,2020-06-20,Jane,E,Smith,777318869,6382 Main St,Apt 243,Dallas,TX,27021,Existing,M1,86,CID-754205,Corporate,NOTIF-1094,Bankruptcy,23-67341,13,13,2024-02-02,,Active,2021-08-14,542344314,Jane,L,Johnson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,303354582,Robert,K,Davis,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2024-08-04,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case in Progress,2024-08-04,
1000095,GECOM,2023-01-24,Robert,L,Brown,631364736,5596 Main St,Apt 359,San Antonio,TX,48717,Existing,M1,84,CID-695334,Individual,NOTIF-1095,Bankruptcy,25-77701,7,11,2020-05-28,,Active,2020-06-10,744484913,William,M,Miller,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,893218623,Jane,A,Johnson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2020-06-01,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Closed,2020-06-01,
1000096,VP,2013-09-20,Patricia,P,Johnson,313826251,1046 Main St,Suite 341,Chicago,CO,43123,Existing,M1,90,CID-593502,Corporate,NOTIF-1096,Bankruptcy,23-78551,7,13,2020-02-14,,Pending,2024-01-20,961637653,Richard,L,Johnson,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,368503992,Linda,S,Martinez,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2022-10-08,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Closed,Case Dismissed,2022-10-08,
1000097,DM,2016-09-08,William,P,Anderson,121347591,1820 Main St,Apt 245,Chicago,WA,74560,New,M1,97,CID-617340,Individual,NOTIF-1097,Bankruptcy,21-87364,7,11,2021-08-23,,Pending,2021-08-23,528145289,Mary,K,Brown,,,,,,123 Debtor Lane,,Bankruptcy City,TX,77001,555-0100,,,,,,,,,,,,,,,,Hon. Sarah Justice,N,564870631,Michael,K,Johnson,Esq,,,,,456 Law Plaza,Ste 10,Legal Center,DC,20001,555-9000,2021-02-13,10:00 AM,Federal Building,Rm 302,District City,TX,77002,555-4444,Trustee Tom,789 Trustee Way,,Admin Town,TX,77003,555-8888,TXEB,Eastern District,200 Court St,,Marshall,TX,75670,555-7777,,N,N,Standard,Open,Case Dismissed,2021-02-13,
